[2017-10-11 18:54]	[10.0.2.2]	[ccdaa]	[MyBase.........]	[logGeneral....................]	"Rolling over log file 5478004 exceeds configured 5000000"	
[2017-10-11 18:54]	[10.0.2.2]	[ccdaa]	[MyPDO..........]	[__construct...................]	"Configured Successfully"	
[2017-10-11 18:54]	[10.0.2.2]	[ccdaa]	[MyPDO..........]	[init..........................]	"Connecting to: mysql/localhost/ccdaa"	
[2017-10-11 18:54]	[10.0.2.2]	[ccdaa]	[MyPDO..........]	[init..........................]	"Successfully connected to mysql database ccdaa"	
[2017-10-11 18:54]	[10.0.2.2]	[ccdaa]	[MyAPI..........]	[__construct...................]	"Configured Successfully"	
[2017-10-11 18:54]	[10.0.2.2]	[ccdaa]	[MyPDO..........]	[prepareQuery..................]	"Preparing manual query"	
[2017-10-11 18:54]	[10.0.2.2]	[ccdaa]	[MyPDO..........]	[prepareQuery..................]	"SELECT
	s.id, pt.title, pt.description
FROM
	authorization AS a
	, preferences_text AS pt
	, sites AS s
WHERE
	pt.projects_id IS NULL
	AND s.id = a.sites_id
	AND a.name = :name
	AND a.token = :token
	AND pt.sites_id = s.id
	AND s.deleted_at = :deleted_at
	AND a.deleted_at = :deleted_at
	AND a.expired_at = :expired_at"	
[2017-10-11 18:54]	[10.0.2.2]	[ccdaa]	[MyPDO..........]	[runQuery......................]	"Array
(
    [name] => ccdaa_login_auth
    [token] => 7b02422a35016bf1499be3442b0311f8
    [deleted_at] => 0000-00-00 00:00:00
    [expired_at] => 0000-00-00 00:00:00
)
"	
[2017-10-11 18:54]	[10.0.2.2]	[ccdaa]	[MyAPI..........]	[init..........................]	"Selecting the site"	
[2017-10-11 18:54]	[10.0.2.2]	[ccdaa]	[MyAPI..........]	[getProject....................]	"Getting Project by sites_id (1) or projects_id ()"	
[2017-10-11 18:54]	[10.0.2.2]	[ccdaa]	[MyPDO..........]	[prepareQuery..................]	"Preparing manual query"	
[2017-10-11 18:54]	[10.0.2.2]	[ccdaa]	[MyPDO..........]	[prepareQuery..................]	"CALL getObjectByParentId(:deleted_at,:languages_id,:object_type,:parent_type,:parent_id)"	
[2017-10-11 18:54]	[10.0.2.2]	[ccdaa]	[MyPDO..........]	[runQuery......................]	"Array
(
    [object_type] => projects
    [parent_type] => sites
    [parent_id] => 1
    [languages_id] => 0
    [deleted_at] => 0000-00-00 00:00:00
)
"	
[2017-10-11 18:54]	[10.0.2.2]	[ccdaa]	[MyPDO..........]	[prepareQuery..................]	"Preparing manual query"	
[2017-10-11 18:54]	[10.0.2.2]	[ccdaa]	[MyPDO..........]	[prepareQuery..................]	"CALL getObjectDetails(:object_id,:object_type,:languages_id)"	
[2017-10-11 18:54]	[10.0.2.2]	[ccdaa]	[MyPDO..........]	[runQuery......................]	"Array
(
    [object_id] => 1
    [object_type] => projects
    [languages_id] => 0
)
"	
[2017-10-11 18:54]	[10.0.2.2]	[ccdaa]	[MyAPI..........]	[makeDetail....................]	"Adding single value simple to type array "	
[2017-10-11 18:54]	[10.0.2.2]	[ccdaa]	[MyAPI..........]	[makeDetail....................]	"Adding single value  to autoplay array "	
[2017-10-11 18:54]	[10.0.2.2]	[ccdaa]	[MyAPI..........]	[makeDetail....................]	"Adding single value 1 to preload array "	
[2017-10-11 18:54]	[10.0.2.2]	[ccdaa]	[MyAPI..........]	[makeDetail....................]	"Adding single value  to controls array "	
[2017-10-11 18:54]	[10.0.2.2]	[ccdaa]	[MyAPI..........]	[makeDetail....................]	"Adding single value 0.5 to volume array "	
[2017-10-11 18:54]	[10.0.2.2]	[ccdaa]	[MyPDO..........]	[prepareQuery..................]	"Preparing manual query"	
[2017-10-11 18:54]	[10.0.2.2]	[ccdaa]	[MyPDO..........]	[prepareQuery..................]	"CALL getObjectDetails(:object_id,:object_type,:languages_id)"	
[2017-10-11 18:54]	[10.0.2.2]	[ccdaa]	[MyPDO..........]	[runQuery......................]	"Array
(
    [object_id] => 1
    [object_type] => projects
    [languages_id] => 0
)
"	
[2017-10-11 18:54]	[10.0.2.2]	[ccdaa]	[MyAPI..........]	[makeDetail....................]	"Adding single value simple to type array "	
[2017-10-11 18:54]	[10.0.2.2]	[ccdaa]	[MyAPI..........]	[makeDetail....................]	"Adding single value  to autoplay array "	
[2017-10-11 18:54]	[10.0.2.2]	[ccdaa]	[MyAPI..........]	[makeDetail....................]	"Adding single value 1 to preload array "	
[2017-10-11 18:54]	[10.0.2.2]	[ccdaa]	[MyAPI..........]	[makeDetail....................]	"Adding single value  to controls array "	
[2017-10-11 18:54]	[10.0.2.2]	[ccdaa]	[MyAPI..........]	[makeDetail....................]	"Adding single value 0.5 to volume array "	
[2017-10-11 18:54]	[10.0.2.2]	[ccdaa]	[MyPDO..........]	[prepareQuery..................]	"Preparing manual query"	
[2017-10-11 18:54]	[10.0.2.2]	[ccdaa]	[MyPDO..........]	[prepareQuery..................]	"CALL getObjectDetails(:object_id,:object_type,:languages_id)"	
[2017-10-11 18:54]	[10.0.2.2]	[ccdaa]	[MyPDO..........]	[runQuery......................]	"Array
(
    [object_id] => 1
    [object_type] => sites
    [languages_id] => all
)
"	
[2017-10-11 18:54]	[10.0.2.2]	[ccdaa]	[MyAPI..........]	[makeDetail....................]	"Adding single value simple to type array "	
[2017-10-11 18:54]	[10.0.2.2]	[ccdaa]	[MyAPI..........]	[makeDetail....................]	"Adding single value {"languages_id": "1","src":"/media/english/01.mp3"} to audio_src array "	
[2017-10-11 18:54]	[10.0.2.2]	[ccdaa]	[MyAPI..........]	[makeDetail....................]	"Adding first index {"languages_id": "2","src":"/media/spanish/01.mp3"} to audio_src array "	
[2017-10-11 18:54]	[10.0.2.2]	[ccdaa]	[MyAPI..........]	[makeDetail....................]	"Adding single value  to autoplay array "	
[2017-10-11 18:54]	[10.0.2.2]	[ccdaa]	[MyAPI..........]	[makeDetail....................]	"Adding single value 1 to preload array "	
[2017-10-11 18:54]	[10.0.2.2]	[ccdaa]	[MyAPI..........]	[makeDetail....................]	"Adding single value  to controls array "	
[2017-10-11 18:54]	[10.0.2.2]	[ccdaa]	[MyAPI..........]	[makeDetail....................]	"Adding single value 0.5 to volume array "	
[2017-10-11 18:54]	[10.0.2.2]	[ccdaa]	[MyPDO..........]	[prepareQuery..................]	"Preparing manual query"	
[2017-10-11 18:54]	[10.0.2.2]	[ccdaa]	[MyPDO..........]	[prepareQuery..................]	"SELECT ll.*, pl.default FROM `preferences_languages` AS pl, lu_languages AS ll WHERE pl.lu_languages_id=ll.id AND pl.projects_id IS NULL AND pl.sites_id=:sites_id"	
[2017-10-11 18:54]	[10.0.2.2]	[ccdaa]	[MyPDO..........]	[runQuery......................]	"Array
(
    [sites_id] => 1
)
"	
[2017-10-11 18:54]	[10.0.2.2]	[ccdaa]	[MyAPI..........]	[init..........................]	"Response: Site Data Collected"	
[2017-10-11 18:54]	[10.0.2.2]	[ccdaa]	[MyPDO..........]	[__construct...................]	"Configured Successfully"	
